statePostalCode,state,county,stationId,siteNumber,placeName,huc,Region,totalArea,siteTypeDescription,latitude,longitude,latLongAccuracyDescription,googleMap
NH,NEW HAMPSHIRE,HILLSBOROUGH,1094161,01094161,"PENNICHUCK BROOK AT US 3, NR NASHUA, NH",1070002,New England,25.64,STREAM,42.793,-71.47,S,"<a href=http://maps.google.com/?q=42.7933333333,-71.4705555556+(01094161)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1095220,01095220,"STILLWATER RIVER NEAR STERLING, MA",1070004,New England,31.6,STREAM,42.41,-71.791,S,"<a href=http://maps.google.com/?q=42.4109250661,-71.7911828572+(01095220)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPDEN,1096538,01096538,MERRIMACK RIVER MUNICIPAL SOURCE - RAW INTAKE,1070002,New England,-999,STREAM,42.642,-71.375,S,"<a href=http://maps.google.com/?q=42.6420353787,-71.3753401248+(01096538)&z=14>google map</a>"
MA,MASSACHUSETTS,MIDDLESEX,1096544,01096544,"STONY BROOK AT SCHOOL STREET AT CHELMSFORD, MA",1070002,New England,41.57,STREAM,42.617,-71.402,S,"<a href=http://maps.google.com/?q=42.6177777778,-71.4022222222+(01096544)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1096710,01096710,"ASSABET RIVER AT ALLEN STREET AT NORTHBOROUGH, MA",1070005,New England,29.5,STREAM,42.329,-71.63,S,"<a href=http://maps.google.com/?q=42.3294444444,-71.63+(01096710)&z=14>google map</a>"
MA,MASSACHUSETTS,MIDDLESEX,1096945,01096945,"ELIZABETH BROOK OFF WHITE POND ROAD NEAR STOW, MA",1070005,New England,18.74,STREAM,42.426,-71.485,S,"<a href=http://maps.google.com/?q=42.4266666667,-71.4852777778+(01096945)&z=14>google map</a>"
MA,MASSACHUSETTS,MIDDLESEX,1097270,01097270,"FORT POND BROOK AT RIVER ROAD NEAR SOUTH ACTON, MA",1070005,New England,20.75,STREAM,42.459,-71.442,S,"<a href=http://maps.google.com/?q=42.4594444444,-71.4427777778+(01097270)&z=14>google map</a>"
MA,MASSACHUSETTS,MIDDLESEX,1097476,01097476,"SUDBURY RIVER AT CONCORD STREET AT ASHLAND, MA",1070005,New England,34.58,STREAM,42.262,-71.463,S,"<a href=http://maps.google.com/?q=42.2625,-71.4633333333+(01097476)&z=14>google map</a>"
MA,MASSACHUSETTS,MIDDLESEX,1100000,01100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",1070002,New England,4635,STREAM,42.645,-71.298,S,"<a href=http://maps.google.com/?q=42.6459246445,-71.2983936517+(01100000)&z=14>google map</a>"
MA,MASSACHUSETTS,ESSEX,1101500,01101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",1090001,New England,44.5,STREAM,42.569,-71.026,S,"<a href=http://maps.google.com/?q=42.5695386868,-71.0269973657+(01101500)&z=14>google map</a>"
MA,MASSACHUSETTS,ESSEX,1102345,01102345,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA",1090001,New England,20.8,STREAM,42.469,-71.006,S,"<a href=http://maps.google.com/?q=42.4695404399,-71.0069953656+(01102345)&z=14>google map</a>"
MA,MASSACHUSETTS,MIDDLESEX,1102500,01102500,"ABERJONA RIVER AT WINCHESTER, MA",1090001,New England,24.5,STREAM,,,H,"<a href=http://maps.google.com/?q=,+(01102500)&z=14>google map</a>"
MA,MASSACHUSETTS,MIDDLESEX,1104500,01104500,"CHARLES RIVER AT WALTHAM, MA",1090001,New England,251,STREAM,42.372,-71.233,U,"<a href=http://maps.google.com/?q=42.3723185719,-71.2336667544+(01104500)&z=14>google map</a>"
MA,MASSACHUSETTS,MIDDLESEX,1104615,01104615,"CHARLES RIVER ABOVE WATERTOWN DAM AT WATERTOWN, MA",1090001,New England,271,STREAM,42.364,-71.189,S,"<a href=http://maps.google.com/?q=42.3648189111,-71.1897766807+(01104615)&z=14>google map</a>"
MA,MASSACHUSETTS,SUFFOLK,1104672,01104672,"CHARLES RV AT HARVARD UNIV IN CAMBRIDGE, MA",1090001,New England,-999,STREAM,42.367,-71.117,1,"<a href=http://maps.google.com/?q=42.3673722222,-71.1177388889+(01104672)&z=14>google map</a>"
MA,MASSACHUSETTS,SUFFOLK,1104690,01104690,"CHARLES RV AT CHARLES RV BASIN AT BOSTON, MA",1090001,New England,-999,STREAM,42.354,-71.087,1,"<a href=http://maps.google.com/?q=42.3542083333,-71.0873555556+(01104690)&z=14>google map</a>"
MA,MASSACHUSETTS,NORFOLK,1105000,01105000,"NEPONSET RIVER AT NORWOOD, MA",1090001,New England,34.7,STREAM,42.177,-71.2,S,"<a href=http://maps.google.com/?q=42.1775987124,-71.2008863409+(01105000)&z=14>google map</a>"
MA,MASSACHUSETTS,NORFOLK,1105500,01105500,"EAST BRANCH NEPONSET RIVER AT CANTON, MA",1090001,New England,27.2,STREAM,42.154,-71.145,S,"<a href=http://maps.google.com/?q=42.1545435648,-71.1458842462+(01105500)&z=14>google map</a>"
MA,MASSACHUSETTS,NORFOLK,1105504,01105504,"EAST BRANCH NEPONSET AT CANTON JUNCTION, MA",1090001,New England,28.13,STREAM,42.158,-71.154,S,"<a href=http://maps.google.com/?q=42.1587101633,-71.1547734859+(01105504)&z=14>google map</a>"
MA,MASSACHUSETTS,NORFOLK,1105581,01105581,"MONATIQUOT RIVER AT RIVER STREET AT BRAINTREE, MA",1090001,New England,27.5,STREAM,42.22,-70.998,S,"<a href=http://maps.google.com/?q=42.22,-70.9988888889+(01105581)&z=14>google map</a>"
MA,MASSACHUSETTS,PLYMOUTH,1106468,01106468,"MATFIELD RIVER AT N CENTRAL ST AT E BRIDGEWATER,MA",1090004,New England,30.79,STREAM,42.033,-70.972,S,"<a href=http://maps.google.com/?q=42.0336111111,-70.9725+(01106468)&z=14>google map</a>"
MA,MASSACHUSETTS,BRISTOL,1109000,01109000,"WADING RIVER NEAR NORTON, MA",1090004,New England,43.3,STREAM,41.947,-71.176,S,"<a href=http://maps.google.com/?q=41.9476001464,-71.1767154984+(01109000)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1109595,01109595,"MIDDLE RIVER OFF SUTTON LANE AT WORCESTER, MA",1090003,New England,48.13,STREAM,42.238,-71.824,S,"<a href=http://maps.google.com/?q=42.2386111111,-71.8244444444+(01109595)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1110000,01110000,"QUINSIGAMOND RIVER AT NORTH GRAFTON, MA",1090003,New England,25.6,STREAM,42.23,-71.71,S,"<a href=http://maps.google.com/?q=42.230372017,-71.710902328+(01110000)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1112262,01112262,"MILL RIVER AT SUMMER STREET NEAR BLACKSTONE, MA",1090003,New England,28.47,STREAM,42.04,-71.515,S,"<a href=http://maps.google.com/?q=42.0408333333,-71.5155555556+(01112262)&z=14>google map</a>"
RI,RHODE ISLAND,PROVIDENCE,1112500,01112500,"BLACKSTONE RIVER AT WOONSOCKET, RI",1090003,New England,416,STREAM,42.006,-71.503,S,"<a href=http://maps.google.com/?q=42.0062093643,-71.503116838+(01112500)&z=14>google map</a>"
RI,RHODE ISLAND,PROVIDENCE,1112900,01112900,"BLACKSTONE RIVER AT MANVILLE, RI",1090003,New England,430.63,STREAM,41.971,-71.47,S,"<a href=http://maps.google.com/?q=41.971209794,-71.4700599299+(01112900)&z=14>google map</a>"
RI,RHODE ISLAND,PROVIDENCE,1114000,01114000,"MOSHASSUCK RIVER AT PROVIDENCE, RI",1090004,New England,23.1,STREAM,41.833,-71.41,U,"<a href=http://maps.google.com/?q=41.8339890034,-71.4106120842+(01114000)&z=14>google map</a>"
RI,RHODE ISLAND,PROVIDENCE,1114500,01114500,"WOONASQUATUCKET RIVER AT CENTERDALE, RI",1090004,New England,38.3,STREAM,41.858,-71.487,S,"<a href=http://maps.google.com/?q=41.8589884254,-71.487282328+(01114500)&z=14>google map</a>"
CT,CONNECTICUT,TOLLAND,1119375,01119375,"WILLIMANTIC R AT MERROW, CT",1100002,New England,94,STREAM,41.835,-72.31,U,"<a href=http://maps.google.com/?q=41.8353757122,-72.3100803671+(01119375)&z=14>google map</a>"
CT,CONNECTICUT,WINDHAM,1121000,01121000,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT",1100002,New England,28.6,STREAM,41.843,-72.168,U,"<a href=http://maps.google.com/?q=41.8437089102,-72.1689661696+(01121000)&z=14>google map</a>"
CT,CONNECTICUT,WINDHAM,1122610,01122610,"SHETUCKET R AT SOUTH WINDHAM, CT",1100002,New England,408,STREAM,41.682,-72.165,U,"<a href=http://maps.google.com/?q=41.6823208302,-72.1659110728+(01122610)&z=14>google map</a>"
CT,CONNECTICUT,WINDHAM,1124000,01124000,"QUINEBAUG RIVER AT QUINEBAUG, CT",1100001,New England,155,STREAM,42.022,-71.955,U,"<a href=http://maps.google.com/?q=42.0223189186,-71.9556289255+(01124000)&z=14>google map</a>"
CT,CONNECTICUT,WINDHAM,1125100,01125100,"FRENCH RIVER AT NORTH GROSVENORDALE, CT",1100001,New England,101,STREAM,41.978,-71.9,H,"<a href=http://maps.google.com/?q=41.9784638889,-71.9005138889+(01125100)&z=14>google map</a>"
CT,CONNECTICUT,WINDHAM,1126123,01126123,QUANDOCK BK NR DANIELSON CT,1100001,New England,1.4,STREAM,41.765,-71.889,U,"<a href=http://maps.google.com/?q=41.7650988066,-71.8895166222+(01126123)&z=14>google map</a>"
CT,CONNECTICUT,NEW LONDON,1127000,01127000,"QUINEBAUG RIVER AT JEWETT CITY, CT",1100001,New England,713,STREAM,41.597,-71.984,H,"<a href=http://maps.google.com/?q=41.5974916667,-71.9840944444+(01127000)&z=14>google map</a>"
CT,CONNECTICUT,NEW LONDON,1127290,01127290,YANTIC R AT GILMAN CT,1100003,New England,37.6,STREAM,41.573,-72.205,U,"<a href=http://maps.google.com/?q=41.5734317374,-72.2050791679+(01127290)&z=14>google map</a>"
CT,CONNECTICUT,NEW LONDON,1127400,01127400,"SUSQUETONSCUT BK AT YANTIC, CT.",1100003,New England,15.7,STREAM,41.57,-72.133,U,"<a href=http://maps.google.com/?q=41.5709316634,-72.1331334388+(01127400)&z=14>google map</a>"
CT,CONNECTICUT,NEW LONDON,1127500,01127500,"YANTIC RIVER AT YANTIC, CT",1100003,New England,89.3,STREAM,41.558,-72.121,U,"<a href=http://maps.google.com/?q=41.5587094035,-72.1214666372+(01127500)&z=14>google map</a>"
NH,NEW HAMPSHIRE,COOS,1129500,01129500,"CONNECTICUT RIVER AT NORTH STRATFORD, NH",1080101,New England,799,STREAM,44.749,-71.631,S,"<a href=http://maps.google.com/?q=44.7497716607,-71.6312001801+(01129500)&z=14>google map</a>"
NH,NEW HAMPSHIRE,COOS,1131400,01131400,"CONNECTICUT RIVER BELOW JOHNS RIVER, NR DALTON, NH",1080101,New England,-999,STREAM,44.427,-71.678,S,"<a href=http://maps.google.com/?q=44.4272810901,-71.6789760301+(01131400)&z=14>google map</a>"
NH,NEW HAMPSHIRE,COOS,1131500,01131500,"CONNECTICUT RIVER NEAR DALTON, NH",1080101,New England,1514,STREAM,44.41,-71.72,S,"<a href=http://maps.google.com/?q=44.4100591357,-71.7206438094+(01131500)&z=14>google map</a>"
VT,VERMONT,ESSEX,1134500,01134500,"MOOSE RIVER AT VICTORY, VT",1080102,New England,75.2,STREAM,44.511,-71.837,S,"<a href=http://maps.google.com/?q=44.511723112,-71.8373142956+(01134500)&z=14>google map</a>"
VT,VERMONT,CALEDONIA,1135300,01135300,"SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT",1080102,New England,42.9,STREAM,44.435,-72.038,S,"<a href=http://maps.google.com/?q=44.4353353344,-72.0384289898+(01135300)&z=14>google map</a>"
VT,VERMONT,CALEDONIA,1135500,01135500,"PASSUMPSIC RIVER AT PASSUMPSIC, VT",1080102,New England,436,STREAM,44.365,-72.039,S,"<a href=http://maps.google.com/?q=44.365614705,-72.039261315+(01135500)&z=14>google map</a>"
NH,NEW HAMPSHIRE,GRAFTON,1137400,01137400,"AMMONOOSUC R BLW HAYSTACK BR NR TWIN MOUNTAIN, NH",1080101,New England,83.7,STREAM,44.274,-71.587,S,"<a href=http://maps.google.com/?q=44.274229776,-71.587027086+(01137400)&z=14>google map</a>"
NH,NEW HAMPSHIRE,GRAFTON,1137500,01137500,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",1080101,New England,87.6,STREAM,44.268,-71.63,S,"<a href=http://maps.google.com/?q=44.268674103,-71.6303617177+(01137500)&z=14>google map</a>"
NH,NEW HAMPSHIRE,GRAFTON,1138000,01138000,"AMMONOOSUC RIVER NEAR BATH, NH",1080101,New England,395,STREAM,44.153,-71.985,S,"<a href=http://maps.google.com/?q=44.1539525763,-71.9856454424+(01138000)&z=14>google map</a>"
VT,VERMONT,ORANGE,1139000,01139000,"WELLS RIVER AT WELLS RIVER, VT",1080103,New England,98.4,STREAM,44.15,-72.065,S,"<a href=http://maps.google.com/?q=44.1503413436,-72.065091539+(01139000)&z=14>google map</a>"
VT,VERMONT,ORANGE,1142500,01142500,"AYERS BROOK AT RANDOLPH, VT",1080105,New England,30.5,STREAM,43.934,-72.657,S,"<a href=http://maps.google.com/?q=43.934509688,-72.657882141+(01142500)&z=14>google map</a>"
VT,VERMONT,WINDSOR,1144000,01144000,"WHITE RIVER AT WEST HARTFORD, VT",1080105,New England,690,STREAM,43.714,-72.418,S,"<a href=http://maps.google.com/?q=43.7142361438,-72.4181489708+(01144000)&z=14>google map</a>"
VT,VERMONT,WINDSOR,1144010,01144010,"WHITE R BL QUECHEE W HARTFORD RD AT W HARTFORD, VT",1080105,New England,-999,STREAM,43.706,-72.417,S,"<a href=http://maps.google.com/?q=43.7064584355,-72.4170377591+(01144010)&z=14>google map</a>"
NH,NEW HAMPSHIRE,GRAFTON,1144500,01144500,"CONNECTICUT RIVER AT WEST LEBANON, NH",1080104,New England,4092,STREAM,43.646,-72.312,S,"<a href=http://maps.google.com/?q=43.6461818732,-72.3123133512+(01144500)&z=14>google map</a>"
NH,NEW HAMPSHIRE,SULLIVAN,1152500,01152500,"SUGAR RIVER AT WEST CLAREMONT, NH",1080104,New England,269,STREAM,43.387,-72.362,S,"<a href=http://maps.google.com/?q=43.387573271,-72.3620340852+(01152500)&z=14>google map</a>"
NH,NEW HAMPSHIRE,SULLIVAN,1152540,01152540,"SUGAR RIVER AT NH 12A, NEAR WEST CLAREMONT, NH",1080104,New England,272,STREAM,43.398,-72.393,S,"<a href=http://maps.google.com/?q=43.3983333333,-72.3936111111+(01152540)&z=14>google map</a>"
NH,NEW HAMPSHIRE,SULLIVAN,1153150,01153150,"CONNECTICUT R AB WILLIAMS R, @ S CHARLESTOWN, NH",1080104,New England,5298.4,STREAM,43.183,-72.442,S,"<a href=http://maps.google.com/?q=43.1834101286,-72.4423106889+(01153150)&z=14>google map</a>"
NH,NEW HAMPSHIRE,CHESHIRE,1155000,01155000,"COLD RIVER AT DREWSVILLE, NH",1080104,New England,82.7,STREAM,43.131,-72.39,S,"<a href=http://maps.google.com/?q=43.1317444325,-72.3903655418+(01155000)&z=14>google map</a>"
NH,NEW HAMPSHIRE,CHESHIRE,1158110,01158110,"ASHUELOT RIVER ABOVE THE BRANCH, AT KEENE, NH",1080201,New England,214,STREAM,42.919,-72.279,S,"<a href=http://maps.google.com/?q=42.9192478214,-72.279251999+(01158110)&z=14>google map</a>"
NH,NEW HAMPSHIRE,CHESHIRE,1161000,01161000,"ASHUELOT RIVER AT HINSDALE, NH",1080201,New England,420,STREAM,42.785,-72.486,S,"<a href=http://maps.google.com/?q=42.7859158645,-72.4861996033+(01161000)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1161400,01161400,"MILLERS RIVER AT ROUTE 12 (EAST) NR WINCHENDON, MA",1080202,New England,23.7,STREAM,42.655,-71.988,U,"<a href=http://maps.google.com/?q=42.6553648215,-71.9886893681+(01161400)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1162000,01162000,"MILLERS RIVER NEAR WINCHENDON, MA",1080202,New England,81.8,STREAM,42.684,-72.083,S,"<a href=http://maps.google.com/?q=42.6842527082,-72.0834138788+(01162000)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1162500,01162500,"PRIEST BROOK NEAR WINCHENDON, MA",1080202,New England,19.4,STREAM,42.682,-72.115,S,"<a href=http://maps.google.com/?q=42.6825859054,-72.1150811716+(01162500)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1163200,01163200,"OTTER RIVER AT OTTER RIVER, MA",1080202,New England,34.1,STREAM,42.588,-72.04,S,"<a href=http://maps.google.com/?q=42.5884212448,-72.0409119822+(01163200)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1166500,01166500,"MILLERS RIVER AT ERVING, MA",1080202,New England,372,STREAM,42.597,-72.438,S,"<a href=http://maps.google.com/?q=42.5975861967,-72.4381422685+(01166500)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1168810,01168810,"EAST BRANCH NORTH RIVER AT LYONSVILLE,MA",1080203,New England,54.4,STREAM,42.67,-72.718,S,"<a href=http://maps.google.com/?q=42.6700840188,-72.7187035504+(01168810)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1168992,01168992,"NORTH RIVER 200 FT AB FOX BRK AT GRISWOLDVILLE, MA",1080203,New England,88.1,STREAM,42.644,-72.715,S,"<a href=http://maps.google.com/?q=42.6448065842,-72.7156476735+(01168992)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1169000,01169000,"NORTH RIVER AT SHATTUCKVILLE, MA",1080203,New England,89,STREAM,42.638,-72.725,S,"<a href=http://maps.google.com/?q=42.6384177505,-72.7250922287+(01169000)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1169900,01169900,"SOUTH RIVER NEAR CONWAY, MA",1080203,New England,24.1,STREAM,42.542,-72.693,S,"<a href=http://maps.google.com/?q=42.542030321,-72.6937017912+(01169900)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1170000,01170000,"DEERFIELD RIVER NEAR WEST DEERFIELD, MA",1080203,New England,557,STREAM,42.535,-72.653,S,"<a href=http://maps.google.com/?q=42.5359195703,-72.6534232754+(01170000)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1170005,01170005,"DEERFIELD RIVER AT WEST DEERFIELD, MA",1080203,New England,560.9,STREAM,42.527,-72.633,U,"<a href=http://maps.google.com/?q=42.5278642778,-72.6339784329+(01170005)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1170007,01170007,"DEERFIELD R BL STILLWATER BRDG AT W. DEERFIELD, MA",1080203,New England,560.96,STREAM,42.525,-72.631,S,"<a href=http://maps.google.com/?q=42.525086563,-72.6314783668+(01170007)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1170095,01170095,"GREEN RIVER AT STEWARTVILLE, MA",1080203,New England,40.8,STREAM,42.711,-72.668,U,"<a href=http://maps.google.com/?q=42.7117501633,-72.6687029784+(01170095)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1170100,01170100,"GREEN RIVER NEAR COLRAIN, MA",1080203,New England,41.4,STREAM,42.703,-72.67,S,"<a href=http://maps.google.com/?q=42.7034169532,-72.6706473826+(01170100)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1170103,01170103,"GREEN RIVER AT EAST COLRAIN, MA",1080203,New England,41.8,STREAM,42.699,-72.665,U,"<a href=http://maps.google.com/?q=42.6998059015,-72.665091682+(01170103)&z=14>google map</a>"
MA,MASSACHUSETTS,FRANKLIN,1170500,01170500,"CONNECTICUT RIVER AT MONTAGUE CITY, MA",1080201,New England,7860,STREAM,42.58,-72.574,1,"<a href=http://maps.google.com/?q=42.5802222222,-72.5745+(01170500)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPSHIRE,1170970,01170970,"HATFIELD RESERVOIR NEAR WEST HATFIELD, MASS",1080201,New England,0.87,STREAM,42.396,-72.648,5,"<a href=http://maps.google.com/?q=42.3965277778,-72.648+(01170970)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPSHIRE,1171300,01171300,"FORT RIVER NEAR AMHERST, MA",1080201,New England,41.5,STREAM,42.358,-72.505,U,"<a href=http://maps.google.com/?q=42.3584235871,-72.5059203932+(01171300)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPSHIRE,1171500,01171500,"MILL RIVER AT NORTHAMPTON, MA",1080201,New England,52.6,STREAM,42.318,-72.665,S,"<a href=http://maps.google.com/?q=42.3189783892,-72.6650907484+(01171500)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1172500,01172500,"WARE RIVER NEAR BARRE, MA",1080204,New England,55.1,STREAM,42.425,-72.024,S,"<a href=http://maps.google.com/?q=42.4250902533,-72.02452115+(01172500)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1173000,01173000,"WARE RIVER AT INTAKE WORKS NEAR BARRE, MA",1080204,New England,96.3,STREAM,42.39,-72.06,S,"<a href=http://maps.google.com/?q=42.3906461272,-72.0603550684+(01173000)&z=14>google map</a>"
MA,MASSACHUSETTS,WORCESTER,1173315,01173315,"MOOSE BROOK AT   FURNACE, MA",1080204,New England,11,STREAM,42.355,-72.16,S,"<a href=http://maps.google.com/?q=42.3553687283,-72.1609126051+(01173315)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPSHIRE,1175500,01175500,"SWIFT RIVER AT WEST WARE, MA",1080204,New England,189,STREAM,42.267,-72.332,S,"<a href=http://maps.google.com/?q=42.2678698957,-72.3325823505+(01175500)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPDEN,1177000,01177000,"CHICOPEE RIVER AT INDIAN ORCHARD, MA",1080204,New England,689,STREAM,42.16,-72.513,S,"<a href=http://maps.google.com/?q=42.160649063,-72.5139756339+(01177000)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPDEN,1178000,01178000,"MILL RIVER AT SPRINGFIELD, MA",1080205,New England,33.2,STREAM,42.094,-72.567,U,"<a href=http://maps.google.com/?q=42.0942611168,-72.567032523+(01178000)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPSHIRE,1180742,01180742,"WEST BRANCH WESTFIELD R 1.4 MI N OF CHESTER, MA",1080206,New England,50.01,STREAM,42.299,-72.983,U,"<a href=http://maps.google.com/?q=42.2998103601,-72.9839897036+(01180742)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPDEN,1183500,01183500,"WESTFIELD RIVER NEAR WESTFIELD, MA",1080206,New England,497,STREAM,42.106,-72.698,S,"<a href=http://maps.google.com/?q=42.1067602363,-72.6989810023+(01183500)&z=14>google map</a>"
MA,MASSACHUSETTS,HAMPDEN,1183850,01183850,"CONNECTICUT RIVER NEAR LONGMEADOW, MA",1080205,New England,9649.8,STREAM,42.031,-72.603,U,"<a href=http://maps.google.com/?q=42.0314844527,-72.6034224086+(01183850)&z=14>google map</a>"
CT,CONNECTICUT,HARTFORD,1184000,01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",1080205,New England,9660,STREAM,41.987,-72.605,S,"<a href=http://maps.google.com/?q=41.9873186059,-72.6053669082+(01184000)&z=14>google map</a>"
CT,CONNECTICUT,HARTFORD,1184100,01184100,"STONY BROOK NEAR WEST SUFFIELD, CT",1080205,New England,10.4,STREAM,41.96,-72.71,H,"<a href=http://maps.google.com/?q=41.9608388889,-72.7104861111+(01184100)&z=14>google map</a>"
CT,CONNECTICUT,HARTFORD,1184490,01184490,"BROAD BROOK AT BROAD BROOK, CT",1080205,New England,15.5,STREAM,41.913,-72.549,H,"<a href=http://maps.google.com/?q=41.9138972222,-72.5497+(01184490)&z=14>google map</a>"
CT,CONNECTICUT,HARTFORD,1184500,01184500,"SCANTIC R AT BROAD BROOK, CT.",1080205,New England,98.2,STREAM,41.911,-72.562,S,"<a href=http://maps.google.com/?q=41.9117641164,-72.5628656857+(01184500)&z=14>google map</a>"
CT,CONNECTICUT,LITCHFIELD,1186000,01186000,"WEST BRANCH FARMINGTON RIVER AT RIVERTON, CT",1080207,New England,131,STREAM,41.962,-73.017,U,"<a href=http://maps.google.com/?q=41.9628729082,-73.0176059966+(01186000)&z=14>google map</a>"
